tray,day_planted,date_planted,day0,day3,day6,day9,day12,day15,day18,day21,notes
1,1,2020-03-30,,,,,,,,,
7,1,2020-03-30,,,,,,,,,
12,1,2020-03-30,,,,,,,,,
14,1,2020-03-30,,,,,,,,,
15,1,2020-03-30,,,,,,,,,
18,1,2020-03-30,,,,,,,,,
24,1,2020-03-30,,,,,,,,,
25,1,2020-03-30,,,,,,,,,
27,1,2020-03-30,,,,,,,,,
28,1,2020-03-30,,,,,,,,,
30,1,2020-03-30,,,,,,,,,
33,1,2020-03-30,,,,,,,,,
34,1,2020-03-30,,,,,,,,,
35,1,2020-03-30,,,,,,,,,
38,1,2020-03-30,,,,,,,,,
39,1,2020-03-30,,,,,,,,,
40,1,2020-03-30,,,,,,,,,
44,1,2020-03-30,,,,,,,,,
46,1,2020-03-30,,,,,,,,,
47,1,2020-03-30,,,,,,,,,
48,1,2020-03-30,,,,,,,,,
50,1,2020-03-30,,,,,,,,,
51,1,2020-03-30,,,,,,,,,
52,1,2020-03-30,,,,,,,,,
55,1,2020-03-30,,,,,,,,,
60,1,2020-03-30,,,,,,,,,
71,1,2020-03-30,,,,,,,,,
75,1,2020-03-30,,,,,,,,,
82,1,2020-03-30,,,,,,,,,
84,1,2020-03-30,,,,,,,,,
86,1,2020-03-30,,,,,,,,,
87,1,2020-03-30,,,,,,,,,
88,1,2020-03-30,,,,,,,,,
89,1,2020-03-30,,,,,,,,,
93,1,2020-03-30,,,,,,,,,
97,1,2020-03-30,,,,,,,,,
100,1,2020-03-30,,,,,,,,,
107,1,2020-03-30,,,,,,,,,
109,1,2020-03-30,,,,,,,,,
112,1,2020-03-30,,,,,,,,,
118,1,2020-03-30,,,,,,,,,
125,1,2020-03-30,,,,,,,,,
127,1,2020-03-30,,,,,,,,,
132,1,2020-03-30,,,,,,,,,
133,1,2020-03-30,,,,,,,,,
137,1,2020-03-30,,,,,,,,,
138,1,2020-03-30,,,,,,,,,
141,1,2020-03-30,,,,,,,,,
142,1,2020-03-30,,,,,,,,,
143,1,2020-03-30,,,,,,,,,
146,1,2020-03-30,,,,,,,,,
156,1,2020-03-30,,,,,,,,,
160,1,2020-03-30,,,,,,,,,
162,1,2020-03-30,,,,,,,,,
167,1,2020-03-30,,,,,,,,,
168,1,2020-03-30,,,,,,,,,
169,1,2020-03-30,,,,,,,,,
6,2,2020-03-31,,,,,,,,,
8,2,2020-03-31,,,,,,,,,
9,2,2020-03-31,,,,,,,,,
10,2,2020-03-31,,,,,,,,,
11,2,2020-03-31,,,,,,,,,
13,2,2020-03-31,,,,,,,,,
16,2,2020-03-31,,,,,,,,,
23,2,2020-03-31,,,,,,,,,
29,2,2020-03-31,,,,,,,,,
36,2,2020-03-31,,,,,,,,,
37,2,2020-03-31,,,,,,,,,
42,2,2020-03-31,,,,,,,,,
43,2,2020-03-31,,,,,,,,,
53,2,2020-03-31,,,,,,,,,
56,2,2020-03-31,,,,,,,,,
57,2,2020-03-31,,,,,,,,,
58,2,2020-03-31,,,,,,,,,
64,2,2020-03-31,,,,,,,,,
65,2,2020-03-31,,,,,,,,,
66,2,2020-03-31,,,,,,,,,
69,2,2020-03-31,,,,,,,,,
70,2,2020-03-31,,,,,,,,,
74,2,2020-03-31,,,,,,,,,
76,2,2020-03-31,,,,,,,,,
77,2,2020-03-31,,,,,,,,,
78,2,2020-03-31,,,,,,,,,
80,2,2020-03-31,,,,,,,,,
83,2,2020-03-31,,,,,,,,,
90,2,2020-03-31,,,,,,,,,
91,2,2020-03-31,,,,,,,,,
96,2,2020-03-31,,,,,,,,,
99,2,2020-03-31,,,,,,,,,
102,2,2020-03-31,,,,,,,,,
104,2,2020-03-31,,,,,,,,,
106,2,2020-03-31,,,,,,,,,
110,2,2020-03-31,,,,,,,,,
111,2,2020-03-31,,,,,,,,,
113,2,2020-03-31,,,,,,,,,
114,2,2020-03-31,,,,,,,,,
115,2,2020-03-31,,,,,,,,,
117,2,2020-03-31,,,,,,,,,
121,2,2020-03-31,,,,,,,,,
122,2,2020-03-31,,,,,,,,,
128,2,2020-03-31,,,,,,,,,
129,2,2020-03-31,,,,,,,,,
134,2,2020-03-31,,,,,,,,,
135,2,2020-03-31,,,,,,,,,
144,2,2020-03-31,,,,,,,,,
145,2,2020-03-31,,,,,,,,,
147,2,2020-03-31,,,,,,,,,
152,2,2020-03-31,,,,,,,,,
154,2,2020-03-31,,,,,,,,,
157,2,2020-03-31,,,,,,,,,
159,2,2020-03-31,,,,,,,,,
164,2,2020-03-31,,,,,,,,,
166,2,2020-03-31,,,,,,,,,
2,3,2020-04-01,,,,,,,,,
3,3,2020-04-01,,,,,,,,,
4,3,2020-04-01,,,,,,,,,
5,3,2020-04-01,,,,,,,,,
17,3,2020-04-01,,,,,,,,,
19,3,2020-04-01,,,,,,,,,
20,3,2020-04-01,,,,,,,,,
21,3,2020-04-01,,,,,,,,,
22,3,2020-04-01,,,,,,,,,
26,3,2020-04-01,,,,,,,,,
31,3,2020-04-01,,,,,,,,,
32,3,2020-04-01,,,,,,,,,
41,3,2020-04-01,,,,,,,,,
45,3,2020-04-01,,,,,,,,,
49,3,2020-04-01,,,,,,,,,
54,3,2020-04-01,,,,,,,,,
59,3,2020-04-01,,,,,,,,,
61,3,2020-04-01,,,,,,,,,
62,3,2020-04-01,,,,,,,,,
63,3,2020-04-01,,,,,,,,,
67,3,2020-04-01,,,,,,,,,
68,3,2020-04-01,,,,,,,,,
72,3,2020-04-01,,,,,,,,,
73,3,2020-04-01,,,,,,,,,
79,3,2020-04-01,,,,,,,,,
81,3,2020-04-01,,,,,,,,,
85,3,2020-04-01,,,,,,,,,
92,3,2020-04-01,,,,,,,,,
94,3,2020-04-01,,,,,,,,,
95,3,2020-04-01,,,,,,,,,
98,3,2020-04-01,,,,,,,,,
101,3,2020-04-01,,,,,,,,,
103,3,2020-04-01,,,,,,,,,
105,3,2020-04-01,,,,,,,,,
108,3,2020-04-01,,,,,,,,,
116,3,2020-04-01,,,,,,,,,
119,3,2020-04-01,,,,,,,,,
120,3,2020-04-01,,,,,,,,,
123,3,2020-04-01,,,,,,,,,
124,3,2020-04-01,,,,,,,,,
126,3,2020-04-01,,,,,,,,,
130,3,2020-04-01,,,,,,,,,
131,3,2020-04-01,,,,,,,,,
136,3,2020-04-01,,,,,,,,,
139,3,2020-04-01,,,,,,,,,
140,3,2020-04-01,,,,,,,,,
148,3,2020-04-01,,,,,,,,,
149,3,2020-04-01,,,,,,,,,
150,3,2020-04-01,,,,,,,,,
151,3,2020-04-01,,,,,,,,,
153,3,2020-04-01,,,,,,,,,
155,3,2020-04-01,,,,,,,,,
158,3,2020-04-01,,,,,,,,,
161,3,2020-04-01,,,,,,,,,
163,3,2020-04-01,,,,,,,,,
165,3,2020-04-01,,,,,,,,,
