ID,x,y,trayID,rand,dens,richness,rep,SD,spID,comp,state0,state_final,day
ID1,0.86,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,I,7
ID2,3.56,0.607483908,1,det,add,1,1,0.5,sp_1,1,C,I,5
ID3,6.26,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,I,9
ID4,8.96,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,S,25
ID5,11.66,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,S,25
ID6,14.36,0.607483908,1,det,add,1,1,0.5,sp_1,1,C,S,25
ID7,17.06,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID8,19.76,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID9,22.46,0.607483908,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID10,2.21,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID11,4.91,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID12,7.61,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID13,10.31,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID14,13.01,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID15,15.71,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID16,18.41,2.945752498,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID17,21.11,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID18,23.81,2.945752498,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID19,0.86,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID20,3.56,5.284021088,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID21,6.26,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID22,8.96,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID23,11.66,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID24,14.36,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID25,17.06,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID26,19.76,5.284021088,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID27,22.46,5.284021088,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID28,2.21,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID29,4.91,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID30,7.61,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID31,10.31,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID32,13.01,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID33,15.71,7.622289679,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID34,18.41,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID35,21.11,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID36,23.81,7.622289679,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID37,0.86,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID38,3.56,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID39,6.26,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID40,8.96,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID41,11.66,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID42,14.36,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID43,17.06,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID44,19.76,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID45,22.46,9.960558269,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID46,2.21,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID47,4.91,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID48,7.61,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID49,10.31,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID50,13.01,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID51,15.71,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID52,18.41,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID53,21.11,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID54,23.81,12.29882686,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID55,0.86,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID56,3.56,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID57,6.26,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID58,8.96,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID59,11.66,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID60,14.36,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID61,17.06,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID62,19.76,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID63,22.46,14.63709545,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID64,2.21,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID65,4.91,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID66,7.61,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID67,10.31,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID68,13.01,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID69,15.71,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID70,18.41,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID71,21.11,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID72,23.81,16.97536404,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID73,0.86,19.31363263,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID74,3.56,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID75,6.26,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID76,8.96,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID77,11.66,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID78,14.36,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID79,17.06,19.31363263,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID80,19.76,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID81,22.46,19.31363263,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID82,2.21,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID83,4.91,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID84,7.61,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID85,10.31,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID86,13.01,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID87,15.71,21.65190122,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID88,18.41,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID89,21.11,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID90,23.81,21.65190122,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID91,0.86,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID92,3.56,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID93,6.26,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID94,8.96,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID95,11.66,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID96,14.36,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID97,17.06,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID98,19.76,23.99016981,1,det,add,1,1,0.5,sp_1,1,C,NA,NA
ID99,22.46,23.99016981,1,det,add,1,1,0.5,sp_1,1,S,NA,NA
ID1,0.905,0.841310767,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID2,3.305,0.841310767,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID3,5.705,0.841310767,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID4,8.105,0.841310767,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID5,10.505,0.841310767,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID6,12.905,0.841310767,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID7,15.305,0.841310767,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID8,17.705,0.841310767,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID9,20.105,0.841310767,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID10,22.505,0.841310767,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID11,2.105,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID12,4.505,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID13,6.905,2.919771736,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID14,9.305,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID15,11.705,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID16,14.105,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID17,16.505,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID18,18.905,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID19,21.305,2.919771736,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID20,23.705,2.919771736,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID21,0.905,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID22,3.305,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID23,5.705,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID24,8.105,4.998232705,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID25,10.505,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID26,12.905,4.998232705,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID27,15.305,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID28,17.705,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID29,20.105,4.998232705,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID30,22.505,4.998232705,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID31,2.105,7.076693674,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID32,4.505,7.076693674,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID33,6.905,7.076693674,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID34,9.305,7.076693674,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID35,11.705,7.076693674,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID36,14.105,7.076693674,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID37,16.505,7.076693674,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID38,18.905,7.076693674,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID39,21.305,7.076693674,2,det,add,2,1,0.5,sp_2,0.3,C,NA,NA
ID40,23.705,7.076693674,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID41,0.905,9.155154643,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID42,3.305,9.155154643,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID43,5.705,9.155154643,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID44,8.105,9.155154643,2,det,add,2,1,0.5,sp_1,1,C,NA,NA
ID45,10.505,9.155154643,2,det,add,2,1,0.5,sp_2,0.3,C,NA,NA
ID46,12.905,9.155154643,2,det,add,2,1,0.5,sp_2,0.3,C,NA,NA
ID47,15.305,9.155154643,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID48,17.705,9.155154643,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID49,20.105,9.155154643,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID50,22.505,9.155154643,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID51,2.105,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID52,4.505,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID53,6.905,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID54,9.305,11.23361561,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID55,11.705,11.23361561,2,det,add,2,1,0.5,sp_2,0.3,C,NA,NA
ID56,14.105,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID57,16.505,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID58,18.905,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID59,21.305,11.23361561,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID60,23.705,11.23361561,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID61,0.905,13.31207658,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID62,3.305,13.31207658,2,det,add,2,1,0.5,sp_1,1,C,NA,NA
ID63,5.705,13.31207658,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID64,8.105,13.31207658,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID65,10.505,13.31207658,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID66,12.905,13.31207658,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID67,15.305,13.31207658,2,det,add,2,1,0.5,sp_1,1,C,NA,NA
ID68,17.705,13.31207658,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID69,20.105,13.31207658,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID70,22.505,13.31207658,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID71,2.105,15.39053755,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID72,4.505,15.39053755,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID73,6.905,15.39053755,2,det,add,2,1,0.5,sp_1,1,C,NA,NA
ID74,9.305,15.39053755,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID75,11.705,15.39053755,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID76,14.105,15.39053755,2,det,add,2,1,0.5,sp_1,1,C,NA,NA
ID77,16.505,15.39053755,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID78,18.905,15.39053755,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID79,21.305,15.39053755,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID80,23.705,15.39053755,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID81,0.905,17.46899852,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID82,3.305,17.46899852,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID83,5.705,17.46899852,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID84,8.105,17.46899852,2,det,add,2,1,0.5,sp_1,1,C,NA,NA
ID85,10.505,17.46899852,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID86,12.905,17.46899852,2,det,add,2,1,0.5,sp_2,0.3,C,NA,NA
ID87,15.305,17.46899852,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID88,17.705,17.46899852,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID89,20.105,17.46899852,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID90,22.505,17.46899852,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID91,2.105,19.54745949,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID92,4.505,19.54745949,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID93,6.905,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID94,9.305,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID95,11.705,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID96,14.105,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID97,16.505,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID98,18.905,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID99,21.305,19.54745949,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID100,23.705,19.54745949,2,det,add,2,1,0.5,sp_2,0.3,C,NA,NA
ID101,0.905,21.62592046,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID102,3.305,21.62592046,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID103,5.705,21.62592046,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID104,8.105,21.62592046,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID105,10.505,21.62592046,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID106,12.905,21.62592046,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID107,15.305,21.62592046,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID108,17.705,21.62592046,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID109,20.105,21.62592046,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID110,22.505,21.62592046,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID111,2.105,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID112,4.505,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID113,6.905,23.70438143,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID114,9.305,23.70438143,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA
ID115,11.705,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID116,14.105,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID117,16.505,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID118,18.905,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID119,21.305,23.70438143,2,det,add,2,1,0.5,sp_1,1,S,NA,NA
ID120,23.705,23.70438143,2,det,add,2,1,0.5,sp_2,0.3,S,NA,NA