Date/Time,Unit,Value,button
10/25/20 11:04,C,23,back
10/25/20 11:34,C,22.5,back
10/25/20 12:04,C,21,back
10/25/20 12:34,C,23.5,back
10/25/20 13:04,C,23.5,back
10/25/20 13:34,C,24,back
10/25/20 14:04,C,22,back
10/25/20 14:34,C,21.5,back
10/25/20 15:04,C,21.5,back
10/25/20 15:34,C,20.5,back
10/25/20 16:04,C,19.5,back
10/25/20 16:34,C,17.5,back
10/25/20 17:04,C,20.5,back
10/25/20 17:34,C,19.5,back
10/25/20 18:04,C,19,back
10/25/20 18:34,C,20,back
10/25/20 19:04,C,17,back
10/25/20 19:34,C,17,back
10/25/20 20:04,C,16.5,back
10/25/20 20:34,C,16,back
10/25/20 21:04,C,17,back
10/25/20 21:34,C,20.5,back
10/25/20 22:04,C,20,back
10/25/20 22:34,C,20.5,back
10/25/20 23:04,C,16.5,back
10/25/20 23:34,C,20,back
10/26/20 0:04,C,20,back
10/26/20 0:34,C,20,back
10/26/20 1:04,C,20,back
10/26/20 1:34,C,20,back
10/26/20 2:04,C,20,back
10/26/20 2:34,C,20,back
10/26/20 3:04,C,20,back
10/26/20 3:34,C,20,back
10/26/20 4:04,C,20,back
10/26/20 4:34,C,20,back
10/26/20 5:04,C,20,back
10/26/20 5:34,C,19.5,back
10/26/20 6:04,C,19.5,back
10/26/20 6:34,C,20,back
10/26/20 7:04,C,19.5,back
10/26/20 7:34,C,19.5,back
10/26/20 8:04,C,20.5,back
10/26/20 8:34,C,16,back
10/26/20 9:04,C,17,back
10/26/20 9:34,C,18,back
10/26/20 10:04,C,18,back
10/26/20 10:34,C,16.5,back
10/26/20 11:04,C,18,back
10/26/20 11:34,C,20,back
10/26/20 12:04,C,20.5,back
10/26/20 12:34,C,21.5,back
10/26/20 13:04,C,22.5,back
10/26/20 13:34,C,23,back
10/26/20 14:04,C,23,back
10/26/20 14:34,C,22.5,back
10/26/20 15:04,C,22.5,back
10/26/20 15:34,C,21.5,back
10/26/20 16:04,C,20.5,back
10/26/20 16:34,C,18.5,back
10/26/20 17:04,C,20,back
10/26/20 17:34,C,20.5,back
10/26/20 18:04,C,20,back
10/26/20 18:34,C,19,back
10/26/20 19:04,C,19,back
10/26/20 19:34,C,18.5,back
10/26/20 20:04,C,18.5,back
10/26/20 20:34,C,20,back
10/26/20 21:04,C,17,back
10/26/20 21:34,C,18.5,back
10/26/20 22:04,C,20.5,back
10/26/20 22:34,C,16.5,back
10/26/20 23:04,C,19,back
10/26/20 23:34,C,20,back
10/27/20 0:04,C,20.5,back
10/27/20 0:34,C,17.5,back
10/27/20 1:04,C,16.5,back
10/27/20 1:34,C,16,back
10/27/20 2:04,C,17,back
10/27/20 2:34,C,17.5,back
10/27/20 3:04,C,18,back
10/27/20 3:34,C,18.5,back
10/27/20 4:04,C,19.5,back
10/27/20 4:34,C,19.5,back
10/27/20 5:04,C,19,back
10/27/20 5:34,C,17.5,back
10/27/20 6:04,C,18,back
10/27/20 6:34,C,20.5,back
10/27/20 7:04,C,20,back
10/27/20 7:34,C,18,back
10/27/20 8:04,C,18.5,back
10/27/20 8:34,C,19,back
10/27/20 9:04,C,15,back
10/27/20 9:34,C,16,back
10/27/20 10:04,C,16,back
10/27/20 10:34,C,16.5,back
10/27/20 11:04,C,19.5,back
10/27/20 11:34,C,22,back
10/27/20 12:04,C,23.5,back
10/27/20 12:34,C,26,back
10/27/20 13:04,C,25.5,back
10/27/20 13:34,C,28.5,back
10/27/20 14:04,C,28,back
10/27/20 14:34,C,27.5,back
10/27/20 15:04,C,28.5,back
10/27/20 15:34,C,27.5,back
10/27/20 16:04,C,25,back
10/27/20 16:34,C,21.5,back
10/27/20 17:04,C,19,back
10/27/20 17:34,C,19.5,back
10/27/20 18:04,C,19,back
10/27/20 18:34,C,18.5,back
10/27/20 19:04,C,21.5,back
10/27/20 19:34,C,22,back
10/27/20 20:04,C,17.5,back
10/27/20 20:34,C,18,back
10/27/20 21:04,C,21.5,back
10/27/20 21:34,C,18,back
10/27/20 22:04,C,20,back
10/27/20 22:34,C,15,back
10/27/20 23:04,C,17.5,back
10/27/20 23:34,C,21,back
10/28/20 0:04,C,18,back
10/28/20 0:34,C,16.5,back
10/28/20 1:04,C,19,back
10/28/20 1:34,C,20.5,back
10/28/20 2:04,C,19,back
10/28/20 2:34,C,20.5,back
10/28/20 3:04,C,17,back
10/28/20 3:34,C,20.5,back
10/28/20 4:04,C,20.5,back
10/28/20 4:34,C,17,back
10/28/20 5:04,C,20,back
10/28/20 5:34,C,19.5,back
10/28/20 6:04,C,21.5,back
10/28/20 6:34,C,20.5,back
10/28/20 7:04,C,20.5,back
10/28/20 7:34,C,20.5,back
10/28/20 8:04,C,20,back
10/28/20 8:34,C,18.5,back
10/28/20 9:04,C,15.5,back
10/28/20 9:34,C,15.5,back
10/28/20 10:04,C,16,back
10/28/20 10:34,C,17.5,back
10/28/20 11:04,C,19.5,back
10/28/20 11:34,C,22.5,back
10/28/20 12:04,C,25.5,back
10/28/20 12:34,C,27,back
10/28/20 13:04,C,28.5,back
10/28/20 13:34,C,29.5,back
10/28/20 14:04,C,30,back
10/28/20 14:34,C,28.5,back
10/28/20 15:04,C,29,back
10/28/20 15:34,C,26.5,back
10/28/20 16:04,C,24.5,back
10/28/20 16:34,C,21.5,back
10/28/20 17:04,C,19.5,back
10/28/20 17:34,C,20.5,back
10/28/20 18:04,C,21.5,back
10/28/20 18:34,C,22.5,back
10/28/20 19:04,C,23,back
10/28/20 19:34,C,23.5,back
10/28/20 20:04,C,23,back
10/28/20 20:34,C,22.5,back
10/28/20 21:04,C,17.5,back
10/28/20 21:34,C,17.5,back
10/28/20 22:04,C,21,back
10/28/20 22:34,C,17,back
10/28/20 23:04,C,18,back
10/28/20 23:34,C,21,back
10/29/20 0:04,C,19.5,back
10/29/20 0:34,C,16.5,back
10/29/20 1:04,C,21,back
10/29/20 1:34,C,17,back
10/29/20 2:04,C,20,back
10/29/20 2:34,C,20.5,back
10/29/20 3:04,C,21,back
10/29/20 3:34,C,20,back
10/29/20 4:04,C,20.5,back
10/29/20 4:34,C,16.5,back
10/29/20 5:04,C,20.5,back
10/29/20 5:34,C,17.5,back
10/29/20 6:04,C,21.5,back
10/29/20 6:34,C,19,back
10/29/20 7:04,C,20.5,back
10/29/20 7:34,C,22.5,back
10/29/20 8:04,C,22,back
10/29/20 8:34,C,23.5,back
10/29/20 9:04,C,19,back
10/29/20 9:34,C,16,back
10/29/20 10:04,C,19.5,back
10/29/20 10:34,C,17.5,back
10/29/20 11:04,C,20,back
10/29/20 11:34,C,23,back
10/29/20 12:04,C,25.5,back
10/29/20 12:34,C,28,back
10/29/20 13:04,C,29.5,back
10/29/20 13:34,C,29.5,back
10/29/20 14:04,C,29.5,back
10/29/20 14:34,C,29,back
10/29/20 15:04,C,28.5,back
10/29/20 15:34,C,28,back
10/29/20 16:04,C,26,back
10/29/20 16:34,C,23,back
10/29/20 17:04,C,20,back
10/29/20 17:34,C,21,back
10/29/20 18:04,C,20,back
10/29/20 18:34,C,20.5,back
10/29/20 19:04,C,19,back
10/29/20 19:34,C,18,back
10/29/20 20:04,C,18,back
10/29/20 20:34,C,18,back
10/29/20 21:04,C,21,back
10/29/20 21:34,C,18,back
10/29/20 22:04,C,20.5,back
10/29/20 22:34,C,16.5,back
10/29/20 23:04,C,17.5,back
10/29/20 23:34,C,21,back
10/30/20 0:04,C,18.5,back
10/30/20 0:34,C,16.5,back
10/30/20 1:04,C,20.5,back
10/30/20 1:34,C,20.5,back
10/30/20 2:04,C,16,back
10/30/20 2:34,C,20.5,back
10/30/20 3:04,C,17,back
10/30/20 3:34,C,20.5,back
10/30/20 4:04,C,20.5,back
10/30/20 4:34,C,20.5,back
10/30/20 5:04,C,19,back
10/30/20 5:34,C,18,back
10/30/20 6:04,C,17.5,back
10/30/20 6:34,C,19,back
10/30/20 7:04,C,22,back
10/30/20 7:34,C,22.5,back
10/30/20 8:04,C,19.5,back
10/30/20 8:34,C,18.5,back
10/30/20 9:04,C,15,back
10/30/20 9:34,C,16.5,back
10/30/20 10:04,C,19.5,back
10/30/20 10:34,C,17,back
10/30/20 11:04,C,19,back
10/30/20 11:34,C,21,back
10/30/20 12:04,C,25,back
10/30/20 12:34,C,28,back
10/30/20 13:04,C,29,back
10/30/20 13:34,C,29,back
10/30/20 14:04,C,30,back
10/30/20 14:34,C,29.5,back
10/30/20 15:04,C,29.5,back
10/30/20 15:34,C,28.5,back
10/30/20 16:04,C,26.5,back
10/30/20 16:34,C,23,back
10/30/20 17:04,C,20.5,back
10/30/20 17:34,C,21,back
10/30/20 18:04,C,20.5,back
10/30/20 18:34,C,22.5,back
10/30/20 19:04,C,23,back
10/30/20 19:34,C,23,back
10/30/20 20:04,C,19.5,back
10/30/20 20:34,C,19.5,back
10/30/20 21:04,C,21.5,back
10/30/20 21:34,C,18.5,back
10/30/20 22:04,C,20.5,back
10/30/20 22:34,C,16.5,back
10/30/20 23:04,C,18,back
10/30/20 23:34,C,21.5,back
10/31/20 0:04,C,20,back
10/31/20 0:34,C,19.5,back
10/31/20 1:04,C,18.5,back
10/31/20 1:34,C,15.5,back
10/31/20 2:04,C,21,back
10/31/20 2:34,C,20.5,back
10/31/20 3:04,C,18.5,back
10/31/20 3:34,C,20.5,back
10/31/20 4:04,C,17.5,back
10/31/20 4:34,C,21,back
10/31/20 5:04,C,19.5,back
10/31/20 5:34,C,17.5,back
10/31/20 6:04,C,20,back
10/31/20 6:34,C,17.5,back
10/31/20 7:04,C,16,back
10/31/20 7:34,C,19,back
10/31/20 8:04,C,16,back
10/31/20 8:34,C,18,back
10/31/20 9:04,C,15.5,back
10/31/20 9:34,C,17,back
10/31/20 10:04,C,17.5,back
10/31/20 10:34,C,18,back
10/31/20 11:04,C,20.5,back
10/31/20 11:34,C,23,back
10/31/20 12:04,C,25.5,back
10/31/20 12:34,C,26.5,back
10/31/20 13:04,C,28.5,back
10/31/20 13:34,C,29.5,back
10/31/20 14:04,C,29.5,back
10/31/20 14:34,C,28.5,back
10/31/20 15:04,C,29,back
10/31/20 15:34,C,28.5,back
10/31/20 16:04,C,27,back
10/31/20 16:34,C,24,back
10/31/20 17:04,C,21,back
10/31/20 17:34,C,21.5,back
10/31/20 18:04,C,20,back
10/31/20 18:34,C,19.5,back
10/31/20 19:04,C,23,back
10/31/20 19:34,C,22,back
10/31/20 20:04,C,22,back
10/31/20 20:34,C,23,back
10/31/20 21:04,C,21,back
10/31/20 21:34,C,19,back
10/31/20 22:04,C,20.5,back
10/31/20 22:34,C,16.5,back
10/31/20 23:04,C,18,back
10/31/20 23:34,C,21,back
11/1/20 0:04,C,18,back
11/1/20 0:34,C,21,back
11/1/20 1:04,C,14,back
11/1/20 1:34,C,15,back
11/1/20 1:04,C,20.5,back
11/1/20 1:34,C,20.5,back
11/1/20 2:04,C,17.5,back
11/1/20 2:34,C,20,back
11/1/20 3:04,C,20.5,back
11/1/20 3:34,C,20.5,back
11/1/20 4:04,C,16,back
11/1/20 4:34,C,18.5,back
11/1/20 5:04,C,19.5,back
11/1/20 5:34,C,21.5,back
11/1/20 6:04,C,21.5,back
11/1/20 6:34,C,21.5,back
11/1/20 7:04,C,22,back
11/1/20 7:34,C,23.5,back
11/1/20 8:04,C,16,back
11/1/20 8:34,C,16,back
11/1/20 9:04,C,16.5,back
11/1/20 9:34,C,18,back
11/1/20 10:04,C,21,back
11/1/20 10:34,C,24,back
11/1/20 11:04,C,27.5,back
11/1/20 11:34,C,28.5,back
11/1/20 12:04,C,29,back
11/1/20 12:34,C,30.5,back
11/1/20 13:04,C,30,back
11/1/20 13:34,C,29.5,back
11/1/20 14:04,C,29,back
11/1/20 14:34,C,28,back
11/1/20 15:04,C,27.5,back
11/1/20 15:34,C,24.5,back
11/1/20 16:04,C,21,back
11/1/20 16:34,C,22,back
11/1/20 17:04,C,20.5,back
11/1/20 17:34,C,20.5,back
11/1/20 18:04,C,23.5,back
11/1/20 18:34,C,22.5,back
11/1/20 19:04,C,22.5,back
11/1/20 19:34,C,22.5,back
11/1/20 20:04,C,20,back
11/1/20 20:34,C,18,back
11/1/20 21:04,C,22,back
11/1/20 21:34,C,18,back
11/1/20 22:04,C,20,back
11/1/20 22:34,C,16.5,back
11/1/20 23:04,C,17.5,back
11/1/20 23:34,C,20,back
11/2/20 0:04,C,20.5,back
11/2/20 0:34,C,20,back
11/2/20 1:04,C,19,back
11/2/20 1:34,C,16.5,back
11/2/20 2:04,C,21,back
11/2/20 2:34,C,20,back
11/2/20 3:04,C,17,back
11/2/20 3:34,C,20.5,back
11/2/20 4:04,C,20,back
11/2/20 4:34,C,18,back
11/2/20 5:04,C,17.5,back
11/2/20 5:34,C,18,back
11/2/20 6:04,C,20,back
11/2/20 6:34,C,20,back
11/2/20 7:04,C,16.5,back
11/2/20 7:34,C,19.5,back
11/2/20 8:04,C,16.5,back
11/2/20 8:34,C,18.5,back
11/2/20 9:04,C,17.5,back
11/2/20 9:34,C,18.5,back
11/2/20 10:04,C,22,back
11/2/20 10:34,C,26,back
11/2/20 11:04,C,28,back
11/2/20 11:34,C,30.5,back
11/2/20 12:04,C,26,back
11/2/20 12:34,C,24.5,back
11/2/20 13:04,C,23.5,back
11/2/20 13:34,C,23.5,back
11/2/20 14:04,C,23,back
11/2/20 14:34,C,23,back
11/2/20 15:04,C,23,back
11/2/20 15:34,C,23,back
11/2/20 16:04,C,23,back
11/2/20 16:34,C,24,back
11/2/20 17:04,C,25,back
11/2/20 17:34,C,25,back
11/2/20 18:04,C,23,back
11/2/20 18:34,C,23,back
11/2/20 19:04,C,22,back
11/2/20 19:34,C,21.5,back
11/2/20 20:04,C,21,back
11/2/20 20:34,C,20.5,back
11/2/20 21:04,C,21,back
11/2/20 21:34,C,21,back
11/2/20 22:04,C,21,back
11/2/20 22:34,C,21,back
11/2/20 23:04,C,21,back
11/2/20 23:34,C,21,back
11/3/20 0:04,C,20.5,back
11/3/20 0:34,C,20.5,back
11/3/20 1:04,C,20.5,back
11/3/20 1:34,C,20,back
11/3/20 2:04,C,20,back
11/3/20 2:34,C,20,back
11/3/20 3:04,C,20,back
11/3/20 3:34,C,19.5,back
11/3/20 4:04,C,19.5,back
11/3/20 4:34,C,19.5,back
11/3/20 5:04,C,19.5,back
11/3/20 5:34,C,19,back
11/3/20 6:04,C,19,back
11/3/20 6:34,C,19,back
11/3/20 7:04,C,18.5,back
11/3/20 7:34,C,18.5,back
11/3/20 8:04,C,16.5,back
11/3/20 8:34,C,18.5,back
11/3/20 9:04,C,16,back
11/3/20 9:34,C,17,back
11/3/20 10:04,C,23,back
11/3/20 10:34,C,27,back
11/3/20 11:04,C,30.5,back
11/3/20 11:34,C,30.5,back
11/3/20 12:04,C,32,back
11/3/20 12:34,C,32,back
11/3/20 13:04,C,32,back
11/3/20 13:34,C,32,back
11/3/20 14:04,C,32.5,back
11/3/20 14:34,C,31.5,back
11/3/20 15:04,C,30,back
11/3/20 15:34,C,28,back
11/3/20 16:04,C,24.5,back
11/3/20 16:34,C,21.5,back
11/3/20 17:04,C,20.5,back
11/3/20 17:34,C,19,back
11/3/20 18:04,C,22.5,back
11/3/20 18:34,C,23,back
11/3/20 19:04,C,24,back
11/3/20 19:34,C,23.5,back
11/3/20 20:04,C,23,back
11/3/20 20:34,C,24,back
11/3/20 21:04,C,23.5,back
11/3/20 21:34,C,18.5,back
11/3/20 22:04,C,20,back
11/3/20 22:34,C,22,back
11/3/20 23:04,C,19,back
11/3/20 23:34,C,20,back
11/4/20 0:04,C,21.5,back
11/4/20 0:34,C,20.5,back
11/4/20 1:04,C,18.5,back
11/4/20 1:34,C,21,back
11/4/20 2:04,C,21,back
11/4/20 2:34,C,21,back
11/4/20 3:04,C,17.5,back
11/4/20 3:34,C,20.5,back
11/4/20 4:04,C,21,back
11/4/20 4:34,C,21,back
11/4/20 5:04,C,17.5,back
11/4/20 5:34,C,24.5,back
11/4/20 6:04,C,22.5,back
11/4/20 6:34,C,22.5,back
11/4/20 7:04,C,22.5,back
11/4/20 7:34,C,23.5,back
11/4/20 8:04,C,20.5,back
11/4/20 8:34,C,19,back
11/4/20 9:04,C,18,back
11/4/20 9:34,C,19,back
11/4/20 10:04,C,24.5,back
11/4/20 10:34,C,29,back
11/4/20 11:04,C,30,back
11/4/20 11:34,C,31.5,back
11/4/20 12:04,C,33.5,back
11/4/20 12:34,C,33.5,back
11/4/20 13:04,C,33.5,back
11/4/20 13:34,C,32,back
11/4/20 14:04,C,31.5,back
11/4/20 14:34,C,31,back
11/4/20 15:04,C,30.5,back
11/4/20 15:34,C,29,back
11/4/20 16:04,C,25.5,back
11/4/20 16:34,C,23,back
11/4/20 17:04,C,21,back
11/4/20 17:34,C,20.5,back
11/4/20 18:04,C,20.5,back
11/4/20 18:34,C,20,back
11/4/20 19:04,C,20,back
11/4/20 19:34,C,19,back
11/4/20 20:04,C,20,back
11/4/20 20:34,C,23,back
11/4/20 21:04,C,19,back
11/4/20 21:34,C,20,back
11/4/20 22:04,C,18.5,back
11/4/20 22:34,C,22.5,back
11/4/20 23:04,C,19,back
11/4/20 23:34,C,20,back
11/5/20 0:04,C,18,back
11/5/20 0:34,C,18.5,back
11/5/20 1:04,C,21.5,back
11/5/20 1:34,C,18,back
11/5/20 2:04,C,18.5,back
11/5/20 2:34,C,21.5,back
11/5/20 3:04,C,20,back
11/5/20 3:34,C,18,back
11/5/20 4:04,C,21.5,back
11/5/20 4:34,C,20,back
11/5/20 5:04,C,18.5,back
11/5/20 5:34,C,24.5,back
11/5/20 6:04,C,22.5,back
11/5/20 6:34,C,22.5,back
11/5/20 7:04,C,23,back
11/5/20 7:34,C,24,back
11/5/20 8:04,C,18,back
11/5/20 8:34,C,20,back
11/5/20 9:04,C,20,back
11/5/20 9:34,C,22,back
11/5/20 10:04,C,28,back
11/5/20 10:34,C,30,back
11/5/20 11:04,C,32,back
11/5/20 11:34,C,32.5,back
11/5/20 12:04,C,34.5,back
11/5/20 12:34,C,35.5,back
11/5/20 13:04,C,35,back
11/5/20 13:34,C,35,back
11/5/20 14:04,C,34,back
11/5/20 14:34,C,32.5,back
11/5/20 15:04,C,31,back
11/5/20 15:34,C,30,back
11/5/20 16:04,C,27.5,back
11/5/20 16:34,C,23.5,back
11/5/20 17:04,C,22,back
11/5/20 17:34,C,21,back
11/5/20 18:04,C,20.5,back
11/5/20 18:34,C,20.5,back
11/5/20 19:04,C,20.5,back
11/5/20 19:34,C,20,back
11/5/20 20:04,C,24,back
11/5/20 20:34,C,22.5,back
11/5/20 21:04,C,21,back
11/5/20 21:34,C,20,back
11/5/20 22:04,C,19.5,back
11/5/20 22:34,C,19,back
11/5/20 23:04,C,23,back
11/5/20 23:34,C,19.5,back
11/6/20 0:04,C,19,back
11/6/20 0:34,C,22.5,back
11/6/20 1:04,C,20,back
11/6/20 1:34,C,18.5,back
11/6/20 2:04,C,22.5,back
11/6/20 2:34,C,19,back
11/6/20 3:04,C,19,back
11/6/20 3:34,C,21.5,back
11/6/20 4:04,C,19,back
11/6/20 4:34,C,20.5,back
11/6/20 5:04,C,21.5,back
11/6/20 5:34,C,23,back
11/6/20 6:04,C,24,back
11/6/20 6:34,C,22.5,back
11/6/20 7:04,C,23,back
11/6/20 7:34,C,23.5,back
11/6/20 8:04,C,18,back
11/6/20 8:34,C,18,back
11/6/20 9:04,C,19,back
11/6/20 9:34,C,18.5,back
11/6/20 10:04,C,18,back
11/6/20 10:34,C,19,back
11/6/20 11:04,C,18,back
11/6/20 11:34,C,24.5,back
11/6/20 12:04,C,25.5,back
11/6/20 12:34,C,26,back
11/6/20 13:04,C,25.5,back
11/6/20 13:34,C,26,back
11/6/20 14:04,C,26,back
11/6/20 14:34,C,24.5,back
11/6/20 15:04,C,21,back
11/6/20 15:34,C,19.5,back
