tray,day,date_sowed,day7,day9,day11,day13,day15,day17
1,1,2021-02-08,,,,,,
4,1,2021-02-08,,,,,,
7,1,2021-02-08,,,,,,
10,1,2021-02-08,,,,,,
14,1,2021-02-08,,,,,,
18,1,2021-02-08,,,,,,
21,1,2021-02-08,,,,,,
24,1,2021-02-08,,,,,,
27,1,2021-02-08,,,,,,
30,1,2021-02-08,,,,,,
34,1,2021-02-08,,,,,,
37,1,2021-02-08,,,,,,
40,1,2021-02-08,,,,,,
43,1,2021-02-08,,,,,,
46,1,2021-02-08,,,,,,
49,1,2021-02-08,,,,,,
52,1,2021-02-08,,,,,,
55,1,2021-02-08,,,,,,
58,1,2021-02-08,,,,,,
61,1,2021-02-08,,,,,,
64,1,2021-02-08,,,,,,
67,1,2021-02-08,,,,,,
70,1,2021-02-08,,,,,,
73,1,2021-02-08,,,,,,
76,1,2021-02-08,,,,,,
79,1,2021-02-08,,,,,,
82,1,2021-02-08,,,,,,
85,1,2021-02-08,,,,,,
88,1,2021-02-08,,,,,,
91,1,2021-02-08,,,,,,
94,1,2021-02-08,,,,,,
97,1,2021-02-08,,,,,,
100,1,2021-02-08,,,,,,
103,1,2021-02-08,,,,,,
106,1,2021-02-08,,,,,,
119,1,2021-02-08,,,,,,
122,1,2021-02-08,,,,,,
125,1,2021-02-08,,,,,,
128,1,2021-02-08,,,,,,
131,1,2021-02-08,,,,,,
134,1,2021-02-08,,,,,,
137,1,2021-02-08,,,,,,
140,1,2021-02-08,,,,,,
143,1,2021-02-08,,,,,,
146,1,2021-02-08,,,,,,
149,1,2021-02-08,,,,,,
152,1,2021-02-08,,,,,,
155,1,2021-02-08,,,,,,
158,1,2021-02-08,,,,,,
161,1,2021-02-08,,,,,,
164,1,2021-02-08,,,,,,
167,1,2021-02-08,,,,,,
201,1,2021-02-08,,,,,,
204,1,2021-02-08,,,,,,
207,1,2021-02-08,,,,,,
210,1,2021-02-08,,,,,,
213,1,2021-02-08,,,,,,
216,1,2021-02-08,,,,,,
2,2,2021-02-09,,,,,,
5,2,2021-02-09,,,,,,
8,2,2021-02-09,,,,,,
12,2,2021-02-09,,,,,,
15,2,2021-02-09,,,,,,
19,2,2021-02-09,,,,,,
22,2,2021-02-09,,,,,,
25,2,2021-02-09,,,,,,
28,2,2021-02-09,,,,,,
31,2,2021-02-09,,,,,,
35,2,2021-02-09,,,,,,
38,2,2021-02-09,,,,,,
41,2,2021-02-09,,,,,,
44,2,2021-02-09,,,,,,
47,2,2021-02-09,,,,,,
50,2,2021-02-09,,,,,,
53,2,2021-02-09,,,,,,
56,2,2021-02-09,,,,,,
59,2,2021-02-09,,,,,,
62,2,2021-02-09,,,,,,
65,2,2021-02-09,,,,,,
68,2,2021-02-09,,,,,,
71,2,2021-02-09,,,,,,
74,2,2021-02-09,,,,,,
77,2,2021-02-09,,,,,,
80,2,2021-02-09,,,,,,
83,2,2021-02-09,,,,,,
86,2,2021-02-09,,,,,,
89,2,2021-02-09,,,,,,
92,2,2021-02-09,,,,,,
95,2,2021-02-09,,,,,,
98,2,2021-02-09,,,,,,
101,2,2021-02-09,,,,,,
104,2,2021-02-09,,,,,,
117,2,2021-02-09,,,,,,
120,2,2021-02-09,,,,,,
123,2,2021-02-09,,,,,,
126,2,2021-02-09,,,,,,
129,2,2021-02-09,,,,,,
132,2,2021-02-09,,,,,,
135,2,2021-02-09,,,,,,
138,2,2021-02-09,,,,,,
141,2,2021-02-09,,,,,,
144,2,2021-02-09,,,,,,
147,2,2021-02-09,,,,,,
150,2,2021-02-09,,,,,,
153,2,2021-02-09,,,,,,
156,2,2021-02-09,,,,,,
159,2,2021-02-09,,,,,,
162,2,2021-02-09,,,,,,
165,2,2021-02-09,,,,,,
168,2,2021-02-09,,,,,,
202,2,2021-02-09,,,,,,
205,2,2021-02-09,,,,,,
208,2,2021-02-09,,,,,,
211,2,2021-02-09,,,,,,
214,2,2021-02-09,,,,,,
3,3,2021-02-10,,,,,,
6,3,2021-02-10,,,,,,
9,3,2021-02-10,,,,,,
13,3,2021-02-10,,,,,,
16,3,2021-02-10,,,,,,
20,3,2021-02-10,,,,,,
23,3,2021-02-10,,,,,,
26,3,2021-02-10,,,,,,
29,3,2021-02-10,,,,,,
32,3,2021-02-10,,,,,,
36,3,2021-02-10,,,,,,
39,3,2021-02-10,,,,,,
42,3,2021-02-10,,,,,,
45,3,2021-02-10,,,,,,
48,3,2021-02-10,,,,,,
51,3,2021-02-10,,,,,,
54,3,2021-02-10,,,,,,
57,3,2021-02-10,,,,,,
60,3,2021-02-10,,,,,,
63,3,2021-02-10,,,,,,
66,3,2021-02-10,,,,,,
69,3,2021-02-10,,,,,,
72,3,2021-02-10,,,,,,
75,3,2021-02-10,,,,,,
78,3,2021-02-10,,,,,,
81,3,2021-02-10,,,,,,
84,3,2021-02-10,,,,,,
87,3,2021-02-10,,,,,,
90,3,2021-02-10,,,,,,
93,3,2021-02-10,,,,,,
96,3,2021-02-10,,,,,,
99,3,2021-02-10,,,,,,
102,3,2021-02-10,,,,,,
105,3,2021-02-10,,,,,,
118,3,2021-02-10,,,,,,
121,3,2021-02-10,,,,,,
124,3,2021-02-10,,,,,,
127,3,2021-02-10,,,,,,
130,3,2021-02-10,,,,,,
133,3,2021-02-10,,,,,,
136,3,2021-02-10,,,,,,
139,3,2021-02-10,,,,,,
142,3,2021-02-10,,,,,,
145,3,2021-02-10,,,,,,
148,3,2021-02-10,,,,,,
151,3,2021-02-10,,,,,,
154,3,2021-02-10,,,,,,
157,3,2021-02-10,,,,,,
160,3,2021-02-10,,,,,,
163,3,2021-02-10,,,,,,
166,3,2021-02-10,,,,,,
169,3,2021-02-10,,,,,,
203,3,2021-02-10,,,,,,
206,3,2021-02-10,,,,,,
209,3,2021-02-10,,,,,,
212,3,2021-02-10,,,,,,
215,3,2021-02-10,,,,,,
301,3,2021-02-10,,,,,,
302,3,2021-02-10,,,,,,
303,3,2021-02-10,,,,,,
304,3,2021-02-10,,,,,,
305,3,2021-02-10,,,,,,
306,3,2021-02-10,,,,,,
