ID,soil,distance,rep,day2,day4,day6,day8,notes
1,sand,2,1,,,,,
2,sand,2,2,,,,,
3,sand,2,3,,,,,
4,sand,2,4,,,,,
5,sand,2,5,,,,,
6,sand,2,6,,,,,
7,sand,2,7,,,,,
8,sand,2,8,,,,,
9,sand,2,9,,,,,
10,sand,2,10,,,,,
11,sand,3,1,,,,,
12,sand,3,2,,,,,
13,sand,3,3,,,,,
14,sand,3,4,,,,,
15,sand,3,5,,,,,
16,sand,3,6,,,,,
17,sand,3,7,,,,,
18,sand,3,8,,,,,
19,sand,3,9,,,,,
20,sand,3,10,,,,,
21,sand,4,1,,,,,
22,sand,4,2,,,,,
23,sand,4,3,,,,,
24,sand,4,4,,,,,
25,sand,4,5,,,,,
26,sand,4,6,,,,,
27,sand,4,7,,,,,
28,sand,4,8,,,,,
29,sand,4,9,,,,,
30,sand,4,10,,,,,
31,coirlite,2,1,,,,,
32,coirlite,2,2,,,,,
33,coirlite,2,3,,,,,
34,coirlite,2,4,,,,,
35,coirlite,2,5,,,,,
36,coirlite,2,6,,,,,
37,coirlite,2,7,,,,,
38,coirlite,2,8,,,,,
39,coirlite,2,9,,,,,
40,coirlite,2,10,,,,,
41,coirlite,3,1,,,,,
42,coirlite,3,2,,,,,
43,coirlite,3,3,,,,,
44,coirlite,3,4,,,,,
45,coirlite,3,5,,,,,
46,coirlite,3,6,,,,,
47,coirlite,3,7,,,,,
48,coirlite,3,8,,,,,
49,coirlite,3,9,,,,,
50,coirlite,3,10,,,,,
51,coirlite,4,1,,,,,
52,coirlite,4,2,,,,,
53,coirlite,4,3,,,,,
54,coirlite,4,4,,,,,
55,coirlite,4,5,,,,,
56,coirlite,4,6,,,,,
57,coirlite,4,7,,,,,
58,coirlite,4,8,,,,,
59,coirlite,4,9,,,,,
60,coirlite,4,10,,,,,